seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12837,2024,ENG.W.1,19970,119954,12,5,5,2,0,0,0,0,0,1,3,1,0,0,4,2025-02-22 05:46:39
12837,2024,ENG.W.1,19972,134349,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2025-02-22 05:46:40
12837,2024,ENG.W.1,20061,134423,10,9,4,4,1,0,0,1,0,1,2,0,0,0,1,2025-02-22 05:46:41
12837,2024,ENG.W.1,21037,140056,12,1,4,6,0,0,0,0,0,1,1,0,0,0,29,2025-02-22 05:46:39
12837,2024,ENG.W.1,19973,158678,13,2,17,10,1,0,0,2,0,8,22,2,0,0,5,2025-02-22 05:46:38
12837,2024,ENG.W.1,19973,176041,12,3,5,8,1,0,0,3,0,0,2,0,0,0,6,2025-02-22 05:46:38
12837,2024,ENG.W.1,20707,178854,14,0,4,1,2,0,0,0,0,5,19,0,0,0,26,2025-02-22 05:46:39
12837,2024,ENG.W.1,19973,188004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:46:38
12837,2024,ENG.W.1,19975,188069,14,0,27,31,4,0,0,4,0,8,19,5,0,0,23,2025-02-22 05:46:42
12837,2024,ENG.W.1,19971,188447,13,2,8,2,2,0,0,0,0,4,7,0,0,0,18,2025-02-22 05:46:40
12837,2024,ENG.W.1,19970,188448,12,1,11,11,0,0,0,2,0,3,17,1,0,0,6,2025-02-22 05:46:39
12837,2024,ENG.W.1,19257,204659,9,0,7,4,2,0,0,0,0,1,4,0,0,0,6,2025-02-22 05:46:41
12837,2024,ENG.W.1,20061,208938,14,0,1,1,1,0,0,0,0,0,0,0,0,38,6,2025-02-22 05:46:41
12837,2024,ENG.W.1,19972,209174,14,0,0,5,2,0,0,0,0,0,0,0,0,63,22,2025-02-22 05:46:40
12837,2024,ENG.W.1,20707,209364,14,0,0,3,1,0,0,0,0,1,1,0,0,36,27,2025-02-22 05:46:39
12837,2024,ENG.W.1,19970,209937,5,0,1,5,1,0,0,1,0,0,3,0,0,0,3,2025-02-22 05:46:39
12837,2024,ENG.W.1,21036,210382,14,0,9,8,1,0,1,2,0,2,8,0,0,0,19,2025-02-22 05:46:40
12837,2024,ENG.W.1,19972,211151,14,5,8,4,0,0,0,3,0,3,12,0,0,0,12,2025-02-22 05:46:40
12837,2024,ENG.W.1,19972,211994,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:46:40
12837,2024,ENG.W.1,19976,213937,14,0,6,3,1,0,0,0,0,1,3,0,0,0,25,2025-02-22 05:46:39
12837,2024,ENG.W.1,19971,219050,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-02-22 05:46:40
12837,2024,ENG.W.1,19973,219079,13,0,19,7,4,1,0,4,0,5,10,0,0,0,5,2025-02-22 05:46:38
12837,2024,ENG.W.1,20707,219119,10,6,2,4,0,0,0,1,0,1,6,1,0,0,7,2025-01-31 14:47:06
12837,2024,ENG.W.1,20707,219769,11,7,5,5,0,0,0,0,0,9,13,3,0,0,11,2025-02-22 05:46:39
12837,2024,ENG.W.1,19976,219773,9,1,1,4,1,0,0,2,0,9,11,3,0,0,10,2025-02-22 05:46:39
12837,2024,ENG.W.1,20062,219818,11,1,16,14,2,0,0,0,0,8,20,1,0,0,15,2025-02-22 05:46:41
12837,2024,ENG.W.1,19257,219819,7,3,2,2,1,0,0,0,0,1,1,0,0,0,5,2025-01-24 16:56:15
12837,2024,ENG.W.1,19973,219822,11,1,4,6,1,0,0,0,0,0,1,0,0,0,5,2025-02-22 05:46:38
12837,2024,ENG.W.1,19975,219825,14,0,19,22,3,0,0,2,0,6,21,3,0,0,25,2025-02-22 05:46:42
12837,2024,ENG.W.1,20062,219859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-16 05:43:24
12837,2024,ENG.W.1,19976,219939,12,4,3,6,0,0,0,0,0,2,10,1,0,0,7,2025-02-22 05:46:39
12837,2024,ENG.W.1,19257,219945,7,1,3,6,0,0,0,0,0,13,32,5,0,0,10,2025-02-22 05:46:41
12837,2024,ENG.W.1,20061,219947,14,0,17,6,2,0,0,2,0,2,12,1,0,0,6,2025-02-22 05:46:41
12837,2024,ENG.W.1,19257,219951,13,1,7,5,0,0,0,3,0,11,38,4,0,0,16,2025-02-22 05:46:41
12837,2024,ENG.W.1,21036,219962,12,1,10,12,2,0,0,0,0,1,5,0,0,0,16,2025-02-22 05:46:40
12837,2024,ENG.W.1,19976,219987,8,0,4,1,1,0,0,0,0,0,4,0,0,0,11,2025-02-22 05:46:39
12837,2024,ENG.W.1,19976,219990,14,0,15,11,2,0,0,0,0,3,10,0,0,0,22,2025-02-22 05:46:39
